[ INFO ] [2016-05-24 20:25:58] com.lifeix.football.competitions.Application [25] - org.springframework.boot.context.event.ApplicationEnvironmentPreparedEvent[source=org.springframework.boot.SpringApplication@57404558]
[ DEBUG] [2016-05-24 20:25:58] org.springframework.beans.factory.support.DefaultListableBeanFactory [874] - Registering scope 'restart' with implementation [org.springframework.boot.devtools.restart.RestartScopeInitializer$RestartScope@50277c73]
[ INFO ] [2016-05-24 20:25:58] com.lifeix.football.competitions.Application [48] - Starting Application on gcc with PID 15332 (E:\workspaces\chinafootball\lifeix-football-competitions\target\classes started by hasee-pc in E:\workspaces\chinafootball\lifeix-football-competitions)
[ INFO ] [2016-05-24 20:25:58] com.lifeix.football.competitions.Application [670] - The following profiles are active: common,system,dev
[ DEBUG] [2016-05-24 20:28:43] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'autoConfigurationReport'
[ DEBUG] [2016-05-24 20:28:43] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'autoConfigurationReport'
[ DEBUG] [2016-05-24 20:28:43] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'autoConfigurationReport'
[ DEBUG] [2016-05-24 20:28:43] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'org.springframework.boot.autoconfigure.condition.BeanTypeRegistry'
[ DEBUG] [2016-05-24 20:28:43] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'autoConfigurationReport'
[ DEBUG] [2016-05-24 20:28:43] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'autoConfigurationReport'
[ DEBUG] [2016-05-24 20:28:43] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'autoConfigurationReport'
[ DEBUG] [2016-05-24 20:28:43] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'org.springframework.boot.autoconfigure.condition.BeanTypeRegistry'
[ DEBUG] [2016-05-24 20:28:43] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'org.springframework.boot.autoconfigure.condition.BeanTypeRegistry'
[ DEBUG] [2016-05-24 20:28:43] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'autoConfigurationReport'
[ DEBUG] [2016-05-24 20:28:43] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'org.springframework.boot.autoconfigure.condition.BeanTypeRegistry'
[ DEBUG] [2016-05-24 20:28:43] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'org.springframework.boot.autoconfigure.condition.BeanTypeRegistry'
[ DEBUG] [2016-05-24 20:28:43] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'autoConfigurationReport'
[ DEBUG] [2016-05-24 20:28:43] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'org.springframework.boot.autoconfigure.condition.BeanTypeRegistry'
[ DEBUG] [2016-05-24 20:28:43] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'org.springframework.boot.autoconfigure.condition.BeanTypeRegistry'
[ DEBUG] [2016-05-24 20:28:43] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'autoConfigurationReport'
[ DEBUG] [2016-05-24 20:28:43] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'autoConfigurationReport'
[ DEBUG] [2016-05-24 20:28:43] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'org.springframework.boot.autoconfigure.condition.BeanTypeRegistry'
[ DEBUG] [2016-05-24 20:28:43] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'org.springframework.boot.autoconfigure.condition.BeanTypeRegistry'
[ DEBUG] [2016-05-24 20:28:43] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'autoConfigurationReport'
[ DEBUG] [2016-05-24 20:28:43] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'autoConfigurationReport'
[ DEBUG] [2016-05-24 20:28:43] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'org.springframework.boot.autoconfigure.condition.BeanTypeRegistry'
[ DEBUG] [2016-05-24 20:28:43] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'org.springframework.boot.autoconfigure.condition.BeanTypeRegistry'
[ DEBUG] [2016-05-24 20:28:43] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'autoConfigurationReport'
[ DEBUG] [2016-05-24 20:28:43] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'autoConfigurationReport'
[ DEBUG] [2016-05-24 20:28:43] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'autoConfigurationReport'
[ DEBUG] [2016-05-24 20:28:43] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'org.springframework.boot.autoconfigure.condition.BeanTypeRegistry'
[ DEBUG] [2016-05-24 20:28:43] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'org.springframework.boot.autoconfigure.condition.BeanTypeRegistry'
[ DEBUG] [2016-05-24 20:28:43] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'autoConfigurationReport'
[ DEBUG] [2016-05-24 20:28:43] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'autoConfigurationReport'
[ DEBUG] [2016-05-24 20:28:43] org.springframework.beans.factory.support.DefaultListableBeanFactory [221] - Creating shared instance of singleton bean 'propertySourcesPlaceholderConfigurer'
[ DEBUG] [2016-05-24 20:28:43] org.springframework.beans.factory.support.DefaultListableBeanFactory [448] - Creating instance of bean 'propertySourcesPlaceholderConfigurer'
[ DEBUG] [2016-05-24 20:28:43] org.springframework.beans.factory.support.DefaultListableBeanFactory [529] - Eagerly caching bean 'propertySourcesPlaceholderConfigurer' to allow for resolving potential circular references
[ DEBUG] [2016-05-24 20:28:43] org.springframework.beans.factory.support.DefaultListableBeanFactory [484] - Finished creating instance of bean 'propertySourcesPlaceholderConfigurer'
[ DEBUG] [2016-05-24 20:28:43] org.springframework.beans.factory.support.DefaultListableBeanFactory [221] - Creating shared instance of singleton bean 'org.springframework.boot.context.properties.ConfigurationPropertiesBindingPostProcessor.store'
[ DEBUG] [2016-05-24 20:28:43] org.springframework.beans.factory.support.DefaultListableBeanFactory [448] - Creating instance of bean 'org.springframework.boot.context.properties.ConfigurationPropertiesBindingPostProcessor.store'
[ DEBUG] [2016-05-24 20:28:43] org.springframework.beans.factory.support.DefaultListableBeanFactory [529] - Eagerly caching bean 'org.springframework.boot.context.properties.ConfigurationPropertiesBindingPostProcessor.store' to allow for resolving potential circular references
[ DEBUG] [2016-05-24 20:28:43] org.springframework.beans.factory.support.DefaultListableBeanFactory [484] - Finished creating instance of bean 'org.springframework.boot.context.properties.ConfigurationPropertiesBindingPostProcessor.store'
[ DEBUG] [2016-05-24 20:28:43] org.springframework.beans.factory.support.DefaultListableBeanFactory [221] - Creating shared instance of singleton bean 'org.springframework.context.annotation.internalAutowiredAnnotationProcessor'
[ DEBUG] [2016-05-24 20:28:43] org.springframework.beans.factory.support.DefaultListableBeanFactory [448] - Creating instance of bean 'org.springframework.context.annotation.internalAutowiredAnnotationProcessor'
[ DEBUG] [2016-05-24 20:28:43] org.springframework.beans.factory.support.DefaultListableBeanFactory [529] - Eagerly caching bean 'org.springframework.context.annotation.internalAutowiredAnnotationProcessor' to allow for resolving potential circular references
[ DEBUG] [2016-05-24 20:28:43] org.springframework.beans.factory.support.DefaultListableBeanFactory [484] - Finished creating instance of bean 'org.springframework.context.annotation.internalAutowiredAnnotationProcessor'
[ DEBUG] [2016-05-24 20:28:43] org.springframework.beans.factory.support.DefaultListableBeanFactory [221] - Creating shared instance of singleton bean 'org.springframework.context.annotation.internalRequiredAnnotationProcessor'
[ DEBUG] [2016-05-24 20:28:43] org.springframework.beans.factory.support.DefaultListableBeanFactory [448] - Creating instance of bean 'org.springframework.context.annotation.internalRequiredAnnotationProcessor'
[ DEBUG] [2016-05-24 20:28:43] org.springframework.beans.factory.support.DefaultListableBeanFactory [529] - Eagerly caching bean 'org.springframework.context.annotation.internalRequiredAnnotationProcessor' to allow for resolving potential circular references
[ DEBUG] [2016-05-24 20:28:43] org.springframework.beans.factory.support.DefaultListableBeanFactory [484] - Finished creating instance of bean 'org.springframework.context.annotation.internalRequiredAnnotationProcessor'
[ DEBUG] [2016-05-24 20:28:43] org.springframework.beans.factory.support.DefaultListableBeanFactory [221] - Creating shared instance of singleton bean 'org.springframework.context.annotation.internalCommonAnnotationProcessor'
[ DEBUG] [2016-05-24 20:28:43] org.springframework.beans.factory.support.DefaultListableBeanFactory [448] - Creating instance of bean 'org.springframework.context.annotation.internalCommonAnnotationProcessor'
[ DEBUG] [2016-05-24 20:28:43] org.springframework.beans.factory.support.DefaultListableBeanFactory [529] - Eagerly caching bean 'org.springframework.context.annotation.internalCommonAnnotationProcessor' to allow for resolving potential circular references
[ DEBUG] [2016-05-24 20:28:43] org.springframework.beans.factory.support.DefaultListableBeanFactory [484] - Finished creating instance of bean 'org.springframework.context.annotation.internalCommonAnnotationProcessor'
[ DEBUG] [2016-05-24 20:28:43] org.springframework.beans.factory.support.DefaultListableBeanFactory [221] - Creating shared instance of singleton bean 'org.springframework.context.annotation.ConfigurationClassPostProcessor.importAwareProcessor'
[ DEBUG] [2016-05-24 20:28:43] org.springframework.beans.factory.support.DefaultListableBeanFactory [448] - Creating instance of bean 'org.springframework.context.annotation.ConfigurationClassPostProcessor.importAwareProcessor'
[ DEBUG] [2016-05-24 20:28:43] org.springframework.beans.factory.support.DefaultListableBeanFactory [529] - Eagerly caching bean 'org.springframework.context.annotation.ConfigurationClassPostProcessor.importAwareProcessor' to allow for resolving potential circular references
[ DEBUG] [2016-05-24 20:28:43] org.springframework.beans.factory.support.DefaultListableBeanFactory [484] - Finished creating instance of bean 'org.springframework.context.annotation.ConfigurationClassPostProcessor.importAwareProcessor'
[ DEBUG] [2016-05-24 20:28:43] org.springframework.beans.factory.support.DefaultListableBeanFactory [221] - Creating shared instance of singleton bean 'org.springframework.context.annotation.ConfigurationClassPostProcessor.enhancedConfigurationProcessor'
[ DEBUG] [2016-05-24 20:28:43] org.springframework.beans.factory.support.DefaultListableBeanFactory [448] - Creating instance of bean 'org.springframework.context.annotation.ConfigurationClassPostProcessor.enhancedConfigurationProcessor'
[ DEBUG] [2016-05-24 20:28:43] org.springframework.beans.factory.support.DefaultListableBeanFactory [529] - Eagerly caching bean 'org.springframework.context.annotation.ConfigurationClassPostProcessor.enhancedConfigurationProcessor' to allow for resolving potential circular references
[ DEBUG] [2016-05-24 20:28:43] org.springframework.beans.factory.support.DefaultListableBeanFactory [484] - Finished creating instance of bean 'org.springframework.context.annotation.ConfigurationClassPostProcessor.enhancedConfigurationProcessor'
[ DEBUG] [2016-05-24 20:28:43] org.springframework.beans.factory.support.DefaultListableBeanFactory [221] - Creating shared instance of singleton bean 'org.springframework.boot.context.properties.ConfigurationPropertiesBindingPostProcessor'
[ DEBUG] [2016-05-24 20:28:43] org.springframework.beans.factory.support.DefaultListableBeanFactory [448] - Creating instance of bean 'org.springframework.boot.context.properties.ConfigurationPropertiesBindingPostProcessor'
[ DEBUG] [2016-05-24 20:28:43] org.springframework.beans.factory.support.DefaultListableBeanFactory [529] - Eagerly caching bean 'org.springframework.boot.context.properties.ConfigurationPropertiesBindingPostProcessor' to allow for resolving potential circular references
[ DEBUG] [2016-05-24 20:28:43] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'org.springframework.boot.context.properties.ConfigurationPropertiesBindingPostProcessor.store'
[ DEBUG] [2016-05-24 20:28:43] org.springframework.beans.factory.support.DefaultListableBeanFactory [1620] - Invoking afterPropertiesSet() on bean with name 'org.springframework.boot.context.properties.ConfigurationPropertiesBindingPostProcessor'
[ DEBUG] [2016-05-24 20:28:43] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'propertySourcesPlaceholderConfigurer'
[ DEBUG] [2016-05-24 20:28:43] org.springframework.beans.factory.support.DefaultListableBeanFactory [484] - Finished creating instance of bean 'org.springframework.boot.context.properties.ConfigurationPropertiesBindingPostProcessor'
[ DEBUG] [2016-05-24 20:28:43] org.springframework.beans.factory.support.DefaultListableBeanFactory [221] - Creating shared instance of singleton bean 'embeddedServletContainerCustomizerBeanPostProcessor'
[ DEBUG] [2016-05-24 20:28:43] org.springframework.beans.factory.support.DefaultListableBeanFactory [448] - Creating instance of bean 'embeddedServletContainerCustomizerBeanPostProcessor'
[ DEBUG] [2016-05-24 20:28:43] org.springframework.beans.factory.support.DefaultListableBeanFactory [529] - Eagerly caching bean 'embeddedServletContainerCustomizerBeanPostProcessor' to allow for resolving potential circular references
[ DEBUG] [2016-05-24 20:28:43] org.springframework.beans.factory.support.DefaultListableBeanFactory [484] - Finished creating instance of bean 'embeddedServletContainerCustomizerBeanPostProcessor'
[ DEBUG] [2016-05-24 20:28:43] org.springframework.beans.factory.support.DefaultListableBeanFactory [221] - Creating shared instance of singleton bean 'embeddedServletContainerFactory'
[ DEBUG] [2016-05-24 20:28:43] org.springframework.beans.factory.support.DefaultListableBeanFactory [448] - Creating instance of bean 'embeddedServletContainerFactory'
[ DEBUG] [2016-05-24 20:28:43] org.springframework.beans.factory.support.DefaultListableBeanFactory [529] - Eagerly caching bean 'embeddedServletContainerFactory' to allow for resolving potential circular references
[ DEBUG] [2016-05-24 20:28:43] org.springframework.beans.factory.support.DefaultListableBeanFactory [221] - Creating shared instance of singleton bean 'serverCustomization'
[ DEBUG] [2016-05-24 20:28:43] org.springframework.beans.factory.support.DefaultListableBeanFactory [448] - Creating instance of bean 'serverCustomization'
[ DEBUG] [2016-05-24 20:28:43] org.springframework.beans.factory.support.DefaultListableBeanFactory [221] - Creating shared instance of singleton bean 'endpointWebMvcChildContextConfiguration'
[ DEBUG] [2016-05-24 20:28:43] org.springframework.beans.factory.support.DefaultListableBeanFactory [448] - Creating instance of bean 'endpointWebMvcChildContextConfiguration'
[ DEBUG] [2016-05-24 20:28:43] org.springframework.beans.factory.support.DefaultListableBeanFactory [529] - Eagerly caching bean 'endpointWebMvcChildContextConfiguration' to allow for resolving potential circular references
[ DEBUG] [2016-05-24 20:28:43] org.springframework.beans.factory.support.DefaultListableBeanFactory [484] - Finished creating instance of bean 'endpointWebMvcChildContextConfiguration'
[ DEBUG] [2016-05-24 20:28:43] org.springframework.beans.factory.annotation.InjectionMetadata [72] - Registered injected element on class [org.springframework.boot.actuate.autoconfigure.EndpointWebMvcChildContextConfiguration$ServerCustomization]: AutowiredFieldElement for private org.springframework.beans.factory.ListableBeanFactory org.springframework.boot.actuate.autoconfigure.EndpointWebMvcChildContextConfiguration$ServerCustomization.beanFactory
[ DEBUG] [2016-05-24 20:28:43] org.springframework.beans.factory.support.DefaultListableBeanFactory [529] - Eagerly caching bean 'serverCustomization' to allow for resolving potential circular references
[ DEBUG] [2016-05-24 20:28:43] org.springframework.beans.factory.annotation.InjectionMetadata [86] - Processing injected element of bean 'serverCustomization': AutowiredFieldElement for private org.springframework.beans.factory.ListableBeanFactory org.springframework.boot.actuate.autoconfigure.EndpointWebMvcChildContextConfiguration$ServerCustomization.beanFactory
[ DEBUG] [2016-05-24 20:28:43] org.springframework.beans.factory.annotation.AutowiredAnnotationBeanPostProcessor [492] - Autowiring by type from bean name 'serverCustomization' to bean named 'org.springframework.beans.factory.support.DefaultListableBeanFactory@7da82ee4'
[ DEBUG] [2016-05-24 20:28:43] org.springframework.beans.factory.support.DefaultListableBeanFactory [484] - Finished creating instance of bean 'serverCustomization'
[ DEBUG] [2016-05-24 20:28:43] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'managementServerProperties'
[ DEBUG] [2016-05-24 20:28:43] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'serverProperties'
[ DEBUG] [2016-05-24 20:28:43] org.springframework.beans.factory.support.DefaultListableBeanFactory [484] - Finished creating instance of bean 'embeddedServletContainerFactory'
[ INFO ] [2016-05-24 20:28:43] org.springframework.boot.context.embedded.tomcat.TomcatEmbeddedServletContainer [81] - Tomcat initialized with port(s): 8081 (http)
[ INFO ] [2016-05-24 20:28:43] org.springframework.web.context.ContextLoader [272] - Root WebApplicationContext: initialization completed in 52 ms
[ DEBUG] [2016-05-24 20:28:43] org.springframework.beans.factory.support.DefaultListableBeanFactory [874] - Registering scope 'request' with implementation [org.springframework.web.context.request.RequestScope@6427c136]
[ DEBUG] [2016-05-24 20:28:43] org.springframework.beans.factory.support.DefaultListableBeanFactory [874] - Registering scope 'session' with implementation [org.springframework.web.context.request.SessionScope@9555aa8]
[ DEBUG] [2016-05-24 20:28:43] org.springframework.beans.factory.support.DefaultListableBeanFactory [874] - Registering scope 'globalSession' with implementation [org.springframework.web.context.request.SessionScope@54f63c00]
[ DEBUG] [2016-05-24 20:28:43] org.springframework.beans.factory.support.DefaultListableBeanFactory [874] - Registering scope 'application' with implementation [org.springframework.web.context.support.ServletContextScope@44d43934]
[ DEBUG] [2016-05-24 20:28:43] org.springframework.beans.factory.support.DefaultListableBeanFactory [221] - Creating shared instance of singleton bean 'dispatcherServlet'
[ DEBUG] [2016-05-24 20:28:43] org.springframework.beans.factory.support.DefaultListableBeanFactory [448] - Creating instance of bean 'dispatcherServlet'
[ DEBUG] [2016-05-24 20:28:43] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'endpointWebMvcChildContextConfiguration'
[ DEBUG] [2016-05-24 20:28:43] org.springframework.beans.factory.support.DefaultListableBeanFactory [529] - Eagerly caching bean 'dispatcherServlet' to allow for resolving potential circular references
[ DEBUG] [2016-05-24 20:28:43] org.springframework.beans.factory.support.DefaultListableBeanFactory [484] - Finished creating instance of bean 'dispatcherServlet'
[ INFO ] [2016-05-24 20:28:43] org.springframework.boot.context.embedded.ServletRegistrationBean [189] - Mapping servlet: 'dispatcherServlet' to [/]
[ DEBUG] [2016-05-24 20:28:43] org.springframework.beans.factory.support.DefaultListableBeanFactory [741] - Pre-instantiating singletons in org.springframework.beans.factory.support.DefaultListableBeanFactory@7da82ee4: defining beans [org.springframework.context.annotation.internalConfigurationAnnotationProcessor,org.springframework.context.annotation.internalAutowiredAnnotationProcessor,org.springframework.context.annotation.internalRequiredAnnotationProcessor,org.springframework.context.annotation.internalCommonAnnotationProcessor,org.springframework.context.event.internalEventListenerProcessor,org.springframework.context.event.internalEventListenerFactory,embeddedServletContainerFactory,endpointWebMvcChildContextConfiguration,propertyPlaceholderAutoConfiguration,embeddedServletContainerAutoConfiguration,dispatcherServletAutoConfiguration,org.springframework.context.annotation.ConfigurationClassPostProcessor.importAwareProcessor,org.springframework.context.annotation.ConfigurationClassPostProcessor.enhancedConfigurationProcessor,org.springframework.boot.actuate.autoconfigure.EndpointWebMvcChildContextConfiguration$EndpointHandlerMappingConfiguration,org.springframework.web.servlet.config.annotation.DelegatingWebMvcConfiguration,viewControllerHandlerMapping,handlerExceptionResolver,mvcContentNegotiationManager,mvcUrlPathHelper,mvcPathMatcher,mvcViewResolver,mvcValidator,requestMappingHandlerMapping,simpleControllerHandlerAdapter,mvcUriComponentsContributor,httpRequestHandlerAdapter,mvcConversionService,resourceHandlerMapping,beanNameHandlerMapping,defaultServletHandlerMapping,mvcResourceUrlProvider,requestMappingHandlerAdapter,dispatcherServlet,serverCustomization,handlerAdapter,handlerMapping,org.springframework.boot.autoconfigure.condition.BeanTypeRegistry,errorEndpoint,propertySourcesPlaceholderConfigurer,embeddedServletContainerCustomizerBeanPostProcessor,org.springframework.boot.actuate.autoconfigure.EndpointWebMvcManagementContextConfiguration,endpointHandlerMapping,mvcEndpoints,environmentMvcEndpoint,healthMvcEndpoint,metricsMvcEndpoint,endpoints.health.CONFIGURATION_PROPERTIES,endpoints.cors.CONFIGURATION_PROPERTIES,org.springframework.boot.context.properties.ConfigurationPropertiesBindingPostProcessor,org.springframework.boot.context.properties.ConfigurationPropertiesBindingPostProcessor.store]; parent: org.springframework.beans.factory.support.DefaultListableBeanFactory@2497fd0d
[ DEBUG] [2016-05-24 20:28:43] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'org.springframework.context.annotation.internalConfigurationAnnotationProcessor'
[ DEBUG] [2016-05-24 20:28:43] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'org.springframework.context.annotation.internalAutowiredAnnotationProcessor'
[ DEBUG] [2016-05-24 20:28:43] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'org.springframework.context.annotation.internalRequiredAnnotationProcessor'
[ DEBUG] [2016-05-24 20:28:43] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'org.springframework.context.annotation.internalCommonAnnotationProcessor'
[ DEBUG] [2016-05-24 20:28:43] org.springframework.beans.factory.support.DefaultListableBeanFactory [221] - Creating shared instance of singleton bean 'org.springframework.context.event.internalEventListenerProcessor'
[ DEBUG] [2016-05-24 20:28:43] org.springframework.beans.factory.support.DefaultListableBeanFactory [448] - Creating instance of bean 'org.springframework.context.event.internalEventListenerProcessor'
[ DEBUG] [2016-05-24 20:28:43] org.springframework.beans.factory.support.DefaultListableBeanFactory [529] - Eagerly caching bean 'org.springframework.context.event.internalEventListenerProcessor' to allow for resolving potential circular references
[ DEBUG] [2016-05-24 20:28:43] org.springframework.beans.factory.support.DefaultListableBeanFactory [484] - Finished creating instance of bean 'org.springframework.context.event.internalEventListenerProcessor'
[ DEBUG] [2016-05-24 20:28:43] org.springframework.beans.factory.support.DefaultListableBeanFactory [221] - Creating shared instance of singleton bean 'org.springframework.context.event.internalEventListenerFactory'
[ DEBUG] [2016-05-24 20:28:43] org.springframework.beans.factory.support.DefaultListableBeanFactory [448] - Creating instance of bean 'org.springframework.context.event.internalEventListenerFactory'
[ DEBUG] [2016-05-24 20:28:43] org.springframework.beans.factory.support.DefaultListableBeanFactory [529] - Eagerly caching bean 'org.springframework.context.event.internalEventListenerFactory' to allow for resolving potential circular references
[ DEBUG] [2016-05-24 20:28:43] org.springframework.beans.factory.support.DefaultListableBeanFactory [484] - Finished creating instance of bean 'org.springframework.context.event.internalEventListenerFactory'
[ DEBUG] [2016-05-24 20:28:43] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'embeddedServletContainerFactory'
[ DEBUG] [2016-05-24 20:28:43] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'endpointWebMvcChildContextConfiguration'
[ DEBUG] [2016-05-24 20:28:43] org.springframework.beans.factory.support.DefaultListableBeanFactory [221] - Creating shared instance of singleton bean 'propertyPlaceholderAutoConfiguration'
[ DEBUG] [2016-05-24 20:28:43] org.springframework.beans.factory.support.DefaultListableBeanFactory [448] - Creating instance of bean 'propertyPlaceholderAutoConfiguration'
[ DEBUG] [2016-05-24 20:28:43] org.springframework.beans.factory.support.DefaultListableBeanFactory [529] - Eagerly caching bean 'propertyPlaceholderAutoConfiguration' to allow for resolving potential circular references
[ DEBUG] [2016-05-24 20:28:43] org.springframework.beans.factory.support.DefaultListableBeanFactory [484] - Finished creating instance of bean 'propertyPlaceholderAutoConfiguration'
[ DEBUG] [2016-05-24 20:28:43] org.springframework.beans.factory.support.DefaultListableBeanFactory [221] - Creating shared instance of singleton bean 'embeddedServletContainerAutoConfiguration'
[ DEBUG] [2016-05-24 20:28:43] org.springframework.beans.factory.support.DefaultListableBeanFactory [448] - Creating instance of bean 'embeddedServletContainerAutoConfiguration'
[ DEBUG] [2016-05-24 20:28:43] org.springframework.beans.factory.support.DefaultListableBeanFactory [529] - Eagerly caching bean 'embeddedServletContainerAutoConfiguration' to allow for resolving potential circular references
[ DEBUG] [2016-05-24 20:28:43] org.springframework.beans.factory.support.DefaultListableBeanFactory [484] - Finished creating instance of bean 'embeddedServletContainerAutoConfiguration'
[ DEBUG] [2016-05-24 20:28:43] org.springframework.beans.factory.support.DefaultListableBeanFactory [221] - Creating shared instance of singleton bean 'dispatcherServletAutoConfiguration'
[ DEBUG] [2016-05-24 20:28:43] org.springframework.beans.factory.support.DefaultListableBeanFactory [448] - Creating instance of bean 'dispatcherServletAutoConfiguration'
[ DEBUG] [2016-05-24 20:28:43] org.springframework.beans.factory.support.DefaultListableBeanFactory [529] - Eagerly caching bean 'dispatcherServletAutoConfiguration' to allow for resolving potential circular references
[ DEBUG] [2016-05-24 20:28:43] org.springframework.beans.factory.support.DefaultListableBeanFactory [484] - Finished creating instance of bean 'dispatcherServletAutoConfiguration'
[ DEBUG] [2016-05-24 20:28:43] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'org.springframework.context.annotation.ConfigurationClassPostProcessor.importAwareProcessor'
[ DEBUG] [2016-05-24 20:28:43] org.springframework.beans.factory.support.DefaultListableBeanFactory [251] - Returning cached instance of singleton bean 'org.springframework.context.annotation.ConfigurationClassPostProcessor.enhancedConfigurationProcessor'
[ DEBUG] [2016-05-24 20:28:43] org.springframework.beans.factory.support.DefaultListableBeanFactory [221] - Creating shared instance of singleton bean 'org.springframework.boot.actuate.autoconfigure.EndpointWebMvcChildContextConfiguration$EndpointHandlerMappingConfiguration'
[ DEBUG] [2016-05-24 20:28:43] org.springframework.beans.factory.support.DefaultListableBeanFactory [448] - Creating instance of bean 'org.springframework.boot.actuate.autoconfigure.EndpointWebMvcChildContextConfiguration$EndpointHandlerMappingConfiguration'
[ DEBUG] [2016-05-24 20:28:43] org.springframework.beans.factory.annotation.InjectionMetadata [72] - Registered injected element on class [org.springframework.boot.actuate.autoconfigure.EndpointWebMvcChildContextConfiguration$EndpointHandlerMappingConfiguration$$EnhancerBySpringCGLIB$$4a0596f1]: AutowiredMethodElement for public void org.springframework.boot.actuate.autoconfigure.EndpointWebMvcChildContextConfiguration$EndpointHandlerMappingConfiguration.handlerMapping(org.springframework.boot.actuate.endpoint.mvc.MvcEndpoints,org.springframework.beans.factory.ListableBeanFactory,org.springframework.boot.actuate.endpoint.mvc.EndpointHandlerMapping)
[ DEBUG] [2016-05-24 20:28:43] org.springframework.beans.factory.support.DefaultListableBeanFactory [529] - Eagerly caching bean 'org.springframework.boot.actuate.autoconfigure.EndpointWebMvcChildContextConfiguration$EndpointHandlerMappingConfiguration' to allow for resolving potential circular references
[ DEBUG] [2016-05-24 20:28:43] org.springframework.beans.factory.annotation.InjectionMetadata [86] - Processing injected element of bean 'org.springframework.boot.actuate.autoconfigure.EndpointWebMvcChildContextConfiguration$EndpointHandlerMappingConfiguration': AutowiredMethodElement for public void org.springframework.boot.actuate.autoconfigure.EndpointWebMvcChildContextConfiguration$EndpointHandlerMappingConfiguration.handlerMapping(org.springframework.boot.actuate.endpoint.mvc.MvcEndpoints,org.springframework.beans.factory.ListableBeanFactory,org.springframework.boot.actuate.endpoint.mvc.EndpointHandlerMapping)
